,securities_code,display_time,remark,trend_flag,match_flag,trade_upper_lower_limit,trade_price,transaction_volume,buy_tick_size,buy_upper_lower_limit,buy_5_price_volume,sell_tick_size,sell_upper_lower_limit,sell_5_price_volume,display_date,match_staff
0,2033,09:00:01, , ,Y, ,29.0,23,5, ,"[{'price': 28.6, 'volume': 6}, {'price': 28.5, 'volume': 18}, {'price': 28.4, 'volume': 11}, {'price': 28.35, 'volume': 12}, {'price': 28.3, 'volume': 8}]",5, ,"[{'price': 29.0, 'volume': 2}, {'price': 29.3, 'volume': 1}, {'price': 29.35, 'volume': 6}, {'price': 29.4, 'volume': 61}, {'price': 29.45, 'volume': 1}]",2008-08-29,AA
1,2033,09:00:26, , , , ,29.0,23,5, ,"[{'price': 28.6, 'volume': 6}, {'price': 28.5, 'volume': 18}, {'price': 28.4, 'volume': 11}, {'price': 28.35, 'volume': 12}, {'price': 28.3, 'volume': 8}]",5, ,"[{'price': 29.0, 'volume': 7}, {'price': 29.3, 'volume': 1}, {'price': 29.35, 'volume': 6}, {'price': 29.4, 'volume': 61}, {'price': 29.45, 'volume': 1}]",2008-08-29,AA
2,2033,09:00:51, , , , ,29.0,23,5, ,"[{'price': 28.6, 'volume': 6}, {'price': 28.5, 'volume': 18}, {'price': 28.4, 'volume': 11}, {'price': 28.35, 'volume': 12}, {'price': 28.3, 'volume': 8}]",5, ,"[{'price': 29.0, 'volume': 7}, {'price': 29.2, 'volume': 2}, {'price': 29.3, 'volume': 1}, {'price': 29.35, 'volume': 6}, {'price': 29.4, 'volume': 61}]",2008-08-29,AA
3,2033,09:01:41, , , , ,29.0,23,5, ,"[{'price': 28.6, 'volume': 6}, {'price': 28.5, 'volume': 20}, {'price': 28.4, 'volume': 11}, {'price': 28.35, 'volume': 12}, {'price': 28.3, 'volume': 8}]",5, ,"[{'price': 28.9, 'volume': 1}, {'price': 29.0, 'volume': 12}, {'price': 29.2, 'volume': 2}, {'price': 29.3, 'volume': 1}, {'price': 29.35, 'volume': 6}]",2008-08-29,AA
4,2033,09:02:06, , ,Y, ,29.2,38,5, ,"[{'price': 28.6, 'volume': 6}, {'price': 28.5, 'volume': 20}, {'price': 28.4, 'volume': 11}, {'price': 28.35, 'volume': 12}, {'price': 28.3, 'volume': 8}]",5, ,"[{'price': 29.2, 'volume': 1}, {'price': 29.3, 'volume': 1}, {'price': 29.35, 'volume': 6}, {'price': 29.4, 'volume': 61}, {'price': 29.45, 'volume': 1}]",2008-08-29,AA
5,2033,09:02:31, , , , ,29.2,38,5, ,"[{'price': 28.65, 'volume': 1}, {'price': 28.6, 'volume': 6}, {'price': 28.5, 'volume': 20}, {'price': 28.4, 'volume': 11}, {'price': 28.35, 'volume': 12}]",5, ,"[{'price': 29.2, 'volume': 1}, {'price': 29.3, 'volume': 6}, {'price': 29.35, 'volume': 6}, {'price': 29.4, 'volume': 61}, {'price': 29.45, 'volume': 1}]",2008-08-29,AA
6,2033,09:02:56, , , , ,29.2,38,5, ,"[{'price': 28.75, 'volume': 5}, {'price': 28.7, 'volume': 1}, {'price': 28.65, 'volume': 1}, {'price': 28.6, 'volume': 6}, {'price': 28.5, 'volume': 20}]",5, ,"[{'price': 29.15, 'volume': 1}, {'price': 29.2, 'volume': 2}, {'price': 29.3, 'volume': 6}, {'price': 29.35, 'volume': 6}, {'price': 29.4, 'volume': 66}]",2008-08-29,AA
7,2033,09:03:46, , ,Y, ,28.8,39,5, ,"[{'price': 28.75, 'volume': 5}, {'price': 28.7, 'volume': 1}, {'price': 28.65, 'volume': 1}, {'price': 28.6, 'volume': 6}, {'price': 28.5, 'volume': 20}]",5, ,"[{'price': 29.15, 'volume': 1}, {'price': 29.2, 'volume': 2}, {'price': 29.3, 'volume': 6}, {'price': 29.35, 'volume': 6}, {'price': 29.4, 'volume': 66}]",2008-08-29,AA
8,2033,09:04:11, , ,Y, ,28.75,40,5, ,"[{'price': 28.75, 'volume': 4}, {'price': 28.7, 'volume': 1}, {'price': 28.65, 'volume': 1}, {'price': 28.6, 'volume': 6}, {'price': 28.5, 'volume': 20}]",5, ,"[{'price': 29.15, 'volume': 1}, {'price': 29.2, 'volume': 2}, {'price': 29.3, 'volume': 6}, {'price': 29.35, 'volume': 6}, {'price': 29.4, 'volume': 66}]",2008-08-29,AA
9,2033,09:04:36, , , , ,28.75,40,5, ,"[{'price': 28.75, 'volume': 4}, {'price': 28.7, 'volume': 3}, {'price': 28.65, 'volume': 1}, {'price': 28.6, 'volume': 6}, {'price': 28.5, 'volume': 20}]",5, ,"[{'price': 29.15, 'volume': 1}, {'price': 29.2, 'volume': 3}, {'price': 29.3, 'volume': 6}, {'price': 29.35, 'volume': 6}, {'price': 29.4, 'volume': 66}]",2008-08-29,AA
10,2033,09:05:01, , , , ,28.75,40,5, ,"[{'price': 28.75, 'volume': 4}, {'price': 28.7, 'volume': 3}, {'price': 28.65, 'volume': 1}, {'price': 28.6, 'volume': 6}, {'price': 28.5, 'volume': 20}]",5, ,"[{'price': 28.8, 'volume': 2}, {'price': 29.15, 'volume': 1}, {'price': 29.2, 'volume': 3}, {'price': 29.3, 'volume': 6}, {'price': 29.35, 'volume': 6}]",2008-08-29,AA
11,2033,09:05:26, , , , ,28.75,40,5, ,"[{'price': 28.7, 'volume': 3}, {'price': 28.65, 'volume': 1}, {'price': 28.6, 'volume': 6}, {'price': 28.5, 'volume': 20}, {'price': 28.4, 'volume': 11}]",5, ,"[{'price': 28.8, 'volume': 2}, {'price': 29.1, 'volume': 1}, {'price': 29.15, 'volume': 1}, {'price': 29.2, 'volume': 3}, {'price': 29.3, 'volume': 6}]",2008-08-29,AA
12,2033,09:05:51, , , , ,28.75,40,5, ,"[{'price': 28.7, 'volume': 3}, {'price': 28.65, 'volume': 2}, {'price': 28.6, 'volume': 6}, {'price': 28.55, 'volume': 4}, {'price': 28.5, 'volume': 20}]",5, ,"[{'price': 28.8, 'volume': 2}, {'price': 29.1, 'volume': 1}, {'price': 29.15, 'volume': 1}, {'price': 29.2, 'volume': 2}, {'price': 29.3, 'volume': 6}]",2008-08-29,AA
13,2033,09:06:16, , , , ,28.75,40,5, ,"[{'price': 28.7, 'volume': 3}, {'price': 28.65, 'volume': 2}, {'price': 28.6, 'volume': 6}, {'price': 28.55, 'volume': 4}, {'price': 28.5, 'volume': 25}]",5, ,"[{'price': 28.8, 'volume': 2}, {'price': 29.1, 'volume': 1}, {'price': 29.15, 'volume': 1}, {'price': 29.2, 'volume': 2}, {'price': 29.3, 'volume': 6}]",2008-08-29,AA
14,2033,09:06:41, , , , ,28.75,40,5, ,"[{'price': 28.7, 'volume': 3}, {'price': 28.65, 'volume': 2}, {'price': 28.6, 'volume': 6}, {'price': 28.55, 'volume': 4}, {'price': 28.5, 'volume': 25}]",5, ,"[{'price': 28.8, 'volume': 2}, {'price': 29.1, 'volume': 1}, {'price': 29.15, 'volume': 1}, {'price': 29.2, 'volume': 4}, {'price': 29.25, 'volume': 2}]",2008-08-29,AA
15,2033,09:07:06, , ,Y, ,28.8,42,5, ,"[{'price': 28.8, 'volume': 3}, {'price': 28.7, 'volume': 3}, {'price': 28.65, 'volume': 2}, {'price': 28.6, 'volume': 6}, {'price': 28.55, 'volume': 4}]",5, ,"[{'price': 29.1, 'volume': 1}, {'price': 29.15, 'volume': 1}, {'price': 29.2, 'volume': 4}, {'price': 29.25, 'volume': 2}, {'price': 29.3, 'volume': 6}]",2008-08-29,AA
16,2033,09:07:31, , , , ,28.8,42,5, ,"[{'price': 28.8, 'volume': 3}, {'price': 28.7, 'volume': 3}, {'price': 28.65, 'volume': 2}, {'price': 28.6, 'volume': 6}, {'price': 28.5, 'volume': 25}]",5, ,"[{'price': 29.1, 'volume': 1}, {'price': 29.15, 'volume': 1}, {'price': 29.2, 'volume': 4}, {'price': 29.25, 'volume': 2}, {'price': 29.3, 'volume': 6}]",2008-08-29,AA
17,2033,09:07:56, , , , ,28.8,42,5, ,"[{'price': 28.8, 'volume': 6}, {'price': 28.75, 'volume': 4}, {'price': 28.7, 'volume': 3}, {'price': 28.65, 'volume': 2}, {'price': 28.6, 'volume': 6}]",5, ,"[{'price': 29.1, 'volume': 1}, {'price': 29.15, 'volume': 1}, {'price': 29.2, 'volume': 4}, {'price': 29.25, 'volume': 2}, {'price': 29.3, 'volume': 6}]",2008-08-29,AA
18,2033,09:08:46, , , , ,28.8,42,5, ,"[{'price': 28.9, 'volume': 1}, {'price': 28.85, 'volume': 1}, {'price': 28.8, 'volume': 6}, {'price': 28.75, 'volume': 4}, {'price': 28.7, 'volume': 2}]",5, ,"[{'price': 29.1, 'volume': 1}, {'price': 29.15, 'volume': 3}, {'price': 29.2, 'volume': 4}, {'price': 29.25, 'volume': 2}, {'price': 29.3, 'volume': 6}]",2008-08-29,AA
19,2033,09:09:11, , , , ,28.8,42,5, ,"[{'price': 28.9, 'volume': 1}, {'price': 28.85, 'volume': 1}, {'price': 28.8, 'volume': 6}, {'price': 28.7, 'volume': 2}, {'price': 28.65, 'volume': 2}]",5, ,"[{'price': 29.0, 'volume': 1}, {'price': 29.1, 'volume': 1}, {'price': 29.15, 'volume': 3}, {'price': 29.2, 'volume': 4}, {'price': 29.25, 'volume': 2}]",2008-08-29,AA
20,2033,09:09:36, , , , ,28.8,42,5, ,"[{'price': 28.9, 'volume': 1}, {'price': 28.85, 'volume': 1}, {'price': 28.8, 'volume': 6}, {'price': 28.75, 'volume': 4}, {'price': 28.7, 'volume': 2}]",5, ,"[{'price': 29.0, 'volume': 1}, {'price': 29.05, 'volume': 1}, {'price': 29.1, 'volume': 1}, {'price': 29.15, 'volume': 2}, {'price': 29.2, 'volume': 4}]",2008-08-29,AA
21,2033,09:10:01, , , , ,28.8,42,5, ,"[{'price': 28.9, 'volume': 1}, {'price': 28.85, 'volume': 1}, {'price': 28.8, 'volume': 6}, {'price': 28.75, 'volume': 4}, {'price': 28.7, 'volume': 2}]",5, ,"[{'price': 29.0, 'volume': 1}, {'price': 29.05, 'volume': 1}, {'price': 29.1, 'volume': 1}, {'price': 29.15, 'volume': 1}, {'price': 29.2, 'volume': 4}]",2008-08-29,AA
22,2033,09:10:26, , , , ,28.8,42,5, ,"[{'price': 28.9, 'volume': 1}, {'price': 28.85, 'volume': 1}, {'price': 28.8, 'volume': 6}, {'price': 28.75, 'volume': 4}, {'price': 28.7, 'volume': 12}]",5, ,"[{'price': 29.0, 'volume': 1}, {'price': 29.05, 'volume': 1}, {'price': 29.1, 'volume': 1}, {'price': 29.15, 'volume': 1}, {'price': 29.2, 'volume': 4}]",2008-08-29,AA
23,2033,09:11:41, , , , ,28.8,42,5, ,"[{'price': 28.9, 'volume': 1}, {'price': 28.85, 'volume': 1}, {'price': 28.8, 'volume': 6}, {'price': 28.75, 'volume': 4}, {'price': 28.7, 'volume': 12}]",5, ,"[{'price': 29.0, 'volume': 1}, {'price': 29.05, 'volume': 1}, {'price': 29.1, 'volume': 1}, {'price': 29.2, 'volume': 4}, {'price': 29.25, 'volume': 2}]",2008-08-29,AA
24,2033,09:12:06, , ,Y, ,28.9,43,5, ,"[{'price': 28.9, 'volume': 1}, {'price': 28.8, 'volume': 6}, {'price': 28.75, 'volume': 4}, {'price': 28.7, 'volume': 12}, {'price': 28.65, 'volume': 2}]",5, ,"[{'price': 29.0, 'volume': 1}, {'price': 29.05, 'volume': 1}, {'price': 29.1, 'volume': 1}, {'price': 29.2, 'volume': 4}, {'price': 29.25, 'volume': 2}]",2008-08-29,AA
25,2033,09:12:31, , , , ,28.9,43,5, ,"[{'price': 28.9, 'volume': 1}, {'price': 28.8, 'volume': 3}, {'price': 28.75, 'volume': 4}, {'price': 28.7, 'volume': 12}, {'price': 28.65, 'volume': 2}]",5, ,"[{'price': 29.0, 'volume': 1}, {'price': 29.05, 'volume': 1}, {'price': 29.1, 'volume': 1}, {'price': 29.2, 'volume': 4}, {'price': 29.25, 'volume': 2}]",2008-08-29,AA
26,2033,09:12:56, , , , ,28.9,43,5, ,"[{'price': 28.9, 'volume': 1}, {'price': 28.85, 'volume': 2}, {'price': 28.8, 'volume': 3}, {'price': 28.75, 'volume': 4}, {'price': 28.7, 'volume': 10}]",5, ,"[{'price': 29.0, 'volume': 3}, {'price': 29.05, 'volume': 1}, {'price': 29.1, 'volume': 1}, {'price': 29.2, 'volume': 4}, {'price': 29.25, 'volume': 2}]",2008-08-29,AA
27,2033,09:14:11, , ,Y, ,29.0,45,5, ,"[{'price': 28.9, 'volume': 1}, {'price': 28.85, 'volume': 2}, {'price': 28.8, 'volume': 3}, {'price': 28.75, 'volume': 4}, {'price': 28.7, 'volume': 10}]",5, ,"[{'price': 29.0, 'volume': 1}, {'price': 29.05, 'volume': 1}, {'price': 29.1, 'volume': 1}, {'price': 29.2, 'volume': 4}, {'price': 29.25, 'volume': 2}]",2008-08-29,AA
28,2033,09:14:36, , ,Y, ,28.9,46,5, ,"[{'price': 28.85, 'volume': 2}, {'price': 28.8, 'volume': 3}, {'price': 28.75, 'volume': 4}, {'price': 28.7, 'volume': 10}, {'price': 28.65, 'volume': 2}]",5, ,"[{'price': 28.9, 'volume': 10}, {'price': 29.0, 'volume': 1}, {'price': 29.1, 'volume': 1}, {'price': 29.2, 'volume': 4}, {'price': 29.25, 'volume': 2}]",2008-08-29,AA
